op;codEntrada;codSaida;descricao;cliente;beneficiamento;setor;pesoUnitario;unidade;valorUnitario
10;51883168;AE40018009;REFORCO FREIO DE MAO COMPLETO;* AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,804;PC;2,71
11;5U7803945CS;5U7803945;CONJUNTO REFORCO DO GANCHO ESQ.;* AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,453;PC;1,92
12;AE40018023;520873310;REFORCO FREIO DE MAO COMPLETO S/REV;* AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,708;PC;2,71
13;5U7803946CS;5U7803946;CONJUNTO REFORCO DO GANCHO DIR.;* AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,447;PC;1,92
14;5U7803703;5U7803703Z;SUPORTE DO MECANISMO;* AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,305;PC;0,98
16;51807894;518078940;REFORCO SUPORTE TAMPAO;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,896;PC;2,48
17;AE020120024E;AE020120024;REFORCO TD ESTAMPADO;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,043;PC;0,37
18;77391690;465295260;SUPORTE FIX. TUBOS;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,1485;PC;0,47
19;46480294E;46480294;STAFFA RINF BOCCHETONE PK-UP EST;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN IRIDESCENTE TRIVALENTE - EA1;ESTACIONARIO I;0,177;PC;0,47
20;51895873;AE40018008;STAFFA RITEGNO FLESS COMANDO FRENI CPL;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,0718;PC;0,47
21;46480293CS;46480293;REFORCO DE FIXACAO DO FILTRO CPL;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN IRIDESCENTE TRIVALENTE - EA1;ESTACIONARIO I;0,092;PC;0,47
22;AE020120033CS;AE020120033;SUPORTE FILTRO COMPLETO;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;0,034;PC;0,5
23;AE40021000;518502960;CJ. RINFORZO CHIUSURA COFANO MOBILE C;* AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,298;PC;1,36
24;7751589;465295270;PIASTRINA;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;0,064;PC;0,31
25;5U48390579T;5U4.839.057.9;PRESILHA ESTAMPADA COM TRAT TERMICO;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN IRIDESCENTE TRIVALENTE + DSH - RA1;ROTATIVO I;0,003;PC;0,07
26;172021709CS;172021709R;SUPORTE TANQUE COMPLETO;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,153;PC;0,56
27;46469207;464692070;SUPORTE TUB. DESCARGA;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN IRIDESCENTE TRIVALENTE - RA1;ESTACIONARIO I;0,163;PC;0,31
28;46470324;464703240;SUPORTE POST. FIX. RES. COMB.;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN IRIDESCENTE TRIVALENTE - EA1;ROTATIVO I;0,253;PC;0,83
29;123165238RE;123165238R;ANEL DE TRAVAMENTO ESTAMPADO;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,127;PC;0,8
30;AE020120004E;AE020120004;ANEL CRAVADO;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,082;PC;0,64
32;AE020120037E;AE020120037;SUPORTE CABO 1 ESTAMPADO;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - RA1;ESTACIONARIO I;0,064;PC;0,56
33;AE020120025E;AE020120025;REFORCO TE ESTAMPADO;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,041;PC;0,31
34;2R2813519E;2R2.813.519;REFORÇO ESQ./DIR.;** AETHRA SISTEMAS AUTOMOTIVOS S.A.;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;1,149;PC;6,13
35;E3B1-9034-A-03C;E3B19034A03Z;INSERTO CAP RETAINER FLEX PETROL;***AETHRA SISTEMAS AUTOMOTIVOS S.A;ZN NIQUEL INCOLOR + SELANTE - RA2;ROTATIVO II;0,072;PC;0,65
37;V40472200;V40472200C;CANNOTTO LAMIERINO GOMMA;DN AUTOMOTIVOS BRASIL LTDA;ZN IRIDESCENTE TRIVALENTE - EA1;ESTACIONARIO I;0,462;PC;2,33
39;HDB060;55198247;WUM62 POLIA COND BANCEADA;DAYCO POWER TRANSMISSION LTDA;ZN IRIDESCENTE TRIVALENTE + SELANTE - EA2;ESTACIONARIO I;1,793;PC;2,43
40;HDB070;55181230;POLIA COND. BALANCEADA WW213;DAYCO POWER TRANSMISSION LTDA;ZN IRIDESCENTE TRIVALENTE + SELANTE - EA2;ESTACIONARIO I;1,408;PC;1,98
41;HDB080;55181233;WUM64 POLIA COND BALANCEADA;DAYCO POWER TRANSMISSION LTDA;ZN IRIDESCENTE TRIVALENTE + SELANTE - EA2;ESTACIONARIO I;1,721;PC;2,43
43;519466881;519466880;PIASTRA SUPORTO TAMP. SOSP SX;STOLA DO BRASIL LTDA- FILIAL BELO HORIZONTE;ZN IRIDESCENTE TRIVALENTE - EA1;ESTACIONARIO I;1,323;PC;3,32
